Municipio;Taxa de Incidencia de Tuberculose ;Taxa de mortalidade ;Taxa de incidencia tuberculose bacilífera ;Casos Brancos;Casos Amarelos;Casos Ignorado;Casos Indigena;Cassos Parda;Casos Negros;Óbitos Brancos;Óbitos Amarelos;Óbitos Ignorado;Óbitos Indigena;Óbitos Parda;Óbitos Negros;(%) Casos Bacilíferos Curados ;(%) Casos de Retratamento que Realizaram cultura (*) ;(%) Casos com teste HIV realizado ;Acesso a Saúde Básica (PSF);% Renda Percapta 1/2 Salário Minimo [2010];(%) Taxa de escolarização de 6 a 14 anos de idade (2010);IDH-M(2010); Esgotamento Sanitário Adequado [2010];Média de Moradores em Domicílios Particulares Ocupados [2010];GINI [2010];;;;
122;;;;100;;;;100;;;;;;;;100;;100;98,37307692;52,9;98,5;0,587;0,489;"3,44  
";0,5487;;;;
123;11,64666667;4,28;5,56;61,833;23,33333333;20;;70,15181818;20;75;;;;83,33333333;;92,85714286;;41,87375;94,97428571;47,5;97,5;0,628;0,561;"3,15  
";0,5788;;;;
124;18,854;10,315;14,15375;93,334;;;;100;33,33;100;;;;;;87,5;;73,88833333;100;50,9;98,2;0,565;0,064;0,0344;0,4982;;;;
125;15,9325;9,54;13,00333333;66,665;;;;90,47714286;33,33;;;;;100;;100;;77,77666667;99,62142857;56,6;99,3;0,541;0,157;"3,71  
";0,5442;;;;
126;;;;80;;;;58,33333333;25;;;;;;;66,66666667;;62,5;99,135;55,6;96,5;0,562;0,186;"3,45  
";0,5196;;;;
127;19,71222222;9,935;14,77875;100;;;;80;50;;;;;100;;70;;50;95,30571429;51,6;96,7;0,601;0,022;"3,32  
";0,5212;;;;
128;38,40363636;15,49;27,75;75;100;;;87,03666667;33,335;100;;;;;;92,59111111;;69,44333333;99,95071429;53,5;97,4;0,573;0,249;"3,60  
";0,5274;;;;
129;;;;100;;;;100;;100;;;;;;;;;99,50285714;49,8;99,1;0,595;0,611;0,0332;0,4587;;;;
130;;;;75;;;;100;75;;;;;;;100;100;50;97,92428571;56,9;98;0,572;0,407;"3,70  
";0,5557;;;;
131;;;;100;;;;75;50;;;;;;;;;;98,58642857;54,6;98,8;0,603;0,872;"3,42  
";0,509;;;;
132;;;;;100;;;100;;;;;;;;100;;;99,72714286;48,7;92,3;0,614;0,023;0,0311;0,483;;;;
133;;;;100;;;;100;;;;;;;;100;;100;100,0592308;48,2;99,5;0,584;0,539;0,0312;0,4991;;;;
134;;;;100;;;;;100;;;;;;;100;;;99,72428571;48,5;97,7;0,62;0,56;0,0331;0,5123;;;;
135;34,01933333;2,088461538;20,90866667;40,15133333;2,44;3,45;2,94;48,50466667;12,40846154;56,25;;;;82,14285714;100;78,92571429;14,28;28,25714286;88,59428571;41,7;97,8;0,701;0,855;0,0347;0,563;;;;
136;29,2375;8,405;30,395;56,66666667;;;;88,33333333;100;;;;;100;100;74,998;100;59,58333333;98,51428571;51,2;96;0,587;0,336;"3,55  
";0,4969;;;;
137;52,762;26,51;79,405;;;;;95;25;100;;;;;;100;;;96,886;54,9;97,9;0,599;0,662;"3,74  
";0,5077;;;;
138;22,16;15,125;14,082;75;;;;91,66666667;100;;;;100;;;100;;80;99,54214286;50;98,8;0,574;0,395;"3,32  
";0,4945;;;;
139;23,42642857;3,765;17,32;38,01125;;;;68,54384615;25,605;;;;;100;;90,21;;36,43090909;98,27357143;51,9;96,8;0,59;0,269;0,0365;0,5399;;;;
140;;;;25;;;;93,75;;;;;;;;83,33333333;;75;99,74285714;52,5;99,1;0,542;0,017;0,0334;0,5268;;;;
141;30,36785714;9,286666667;15,75545455;50,119;40;;;61,75846154;18,65333333;100;;;;100;;98,48454545;;35,66;99,69;50,9;97,4;0,621;0,479;0,0333;0,5427;;;;
